Filename,Index Start,Index End,Letter Start
2272,Kiernan,Kinzler,
2273,Kinzler,Kleiman,
2274,Kleiman,Kleinert,
2275,Kleinfeld,Knickerbocker,
2276,Knickerbocker,Kohler,
2277,Kohler,Kornberg,
2278,Kornberg,Kramar,
2279,Kramarow,Kravet,
2280,Kravet,Kronish,
2281,Kronish,Kunze,
2282,Kunze,Lachterman,L
2283,La Ceil,Landau,
2284,Landau,Lanoil,
2285,Lanouette,Laterza,
2286,Laterza,Lazarowitz,
2287,Lazarowitz,Lee,
2288,Lee,Leiden,
2289,Leidenfrost,Lepp,
2290,Leppert,Levin,
2291,Levin,Levine,
2292,Levine,Levy,
2293,Levy,Lexington,
2294,Lexington,Lieblich,
2295,Lieblich,Lindenberg,
2296,Lindenberg,Lipskey,
2297,Lipski,Lo Curto,
2298,Locurto,Lopert,
2299,Lopes,Lowenthal,
2300,Lowenthal,Lungen,
2301,Lunghard,M & L,M
2302,M L,Madden,
2303,Madden,Maibaum,
2304,Maiberger,Malvin,
2305,Malzacher,Manna,
2306,Manna,Marcus,
2307,Marcus,Marko,
2308,Markoe,Marshall,
2309,Marshall,Mason,
2310,Mason,Matzkin,
2311,Matzkin,McAllister,
2312,McAllister,McCoart,
2313,McCole,McGann,
2314,McGann,McInerney,
2315,McInerney,McMahon,
2316,McMahon,Medwin,
2317,Medwin,Meltzer,
2318,Meltzer,Merolle,
2319,Meropol,Meybohm,
2320,Meyborg,Michel,
2321,Michel,Miller,
2322,Miller,Milliken,
2323,Milliken,Mishkin,
2324,Mishkin,Moiseyev,
2325,Moisha’s,Moore,
2326,Moore,Morris,
2327,Morris,Moskowitz,
2328,Moskowitz,Mufson,
2329,Mufson,Munson,
2330,Munson,Murray,
2331,Murray,Nafz,N
2332,Nafz,National,
2333,National,Nemerow,
2334,Nemerson,N Y Cash,
2335,N Y Central,N Y City,
2336,N Y City,Newman,
2337,Newman,Nisenson,
2338,Nisenson,Notarius,
2339,Notarontonia,O’Brien,O
2340,O’Brien,O’Donnel,
2341,O’Donnell,Okun,
2342,Okun,One,
2343,One,Orr,
2344,Orr,Ozurovich,
2345,P & A,Palmerick,P
2346,Palmer’s,Park,
2347,Park,Pastorino,
2348,Pastuhoff,Pecoraro,
2349,Pecoraro,Perangelo,
2350,Perangelo,Pesky,
2351,Pesky,Pfeiffer,
2352,Pfeiffer,Pierce,
2353,Pierce,Pittman,
2354,Pitts,Poetzsch,
2355,Poggenburg,Pomerantz,
2356,Pomerantz,Post,
2357,Post,Press,
2358,Press,Prospect,
2359,Prospect,Pyke,
2360,Pyle,Rabinowitz,"Q,R"
2361,Rabinowitz,Raiman,
2362,Raiman,Raschkind,
2363,Raschkind,Reasor,
2364,Reass,Rehm,
2365,Rehm,Reinhardt,
2366,Reinhardt,Renzetti,
2367,Renzulli,Ribler,
2368,Ribler,Riehl,
2369,Riehl,Rivenburg,
2370,Riverby,Robinson,
2371,Robinson,Rohan,
2372,Rohan’s,Rose,
2373,Rose,Rosenbaum,
2374,Rosenbaum,Rosenblum,
2375,Rosenblum,Rosenthal,
2376,Rosenthal,Rossiter,
2377,Rossler,Rothman,
2378,Rothman,Rubenstein,
2379,Rubenstein,Rudensky,
2380,Rudensky,Russo,
2381,Russo,Sachs,S
2382,Sachs,Saint,
2383,Saint,Salzer,
2384,Salzer,Sandson,
2385,Sandstrom,Saratoga,
2386,Sarch,Saxe,
2387,Saxen,Schaff,
2388,Schaff,Scheer,
2389,Scheer,Schiff,
2390,Schiff,Schlitten,
2391,Schlitz,Schneider,
2392,Schneider,Schoene,
2393,Schoeneich,Schroder,
2394,Schroder,Schwadron,
2395,Schwadron,Schwartz,
2396,Schwartz,Schwendtner,
2397,Schwenk,Seelinger,
2398,Seely,Selover,
2399,Selows,Schaffer,
2400,Schaffer,Shapiro,
2401,Shapiro,Sheinbaum,
2402,Sheinbaum,Shields,
2403,Shields,Siebel,
2404,Siebel,Sigelschiffer,
2405,Singie’s,Silverman,
2406,Silverman,Simon,
2407,Simon,Sirovich,
2408,Sirugo,Slotkon,
2409,Slotkin,Smith,
2410,Smith,Sobol,
2411,Sobol,Solovey,
2412,Solovioff,Sparrow,
2413,Sparta,Spignesi,
2414,Spilhaus,Srebnik,
2415,Srebnik,Star,
2416,Star,Stein,
2417,Stein,Steinfield,
2418,Steinfink,Stern,
2419,Stern,Stockman,
2420,Stocknoff,Strauss,
2421,Strauss,Stumpf,
2422,Stumpf,Sulzer,
2423,Sulzer,Sussman,
2424,Sussman,Tackney,T
2425,Tackney,Taub,
2426,Taub,Tenzer,
2427,Tenzer,Thomas,
2428,Thomas,Tiles,
2429,Tiles,Tonry,
2430,Tonsing,Trauner,
2431,Trauner,Trocchio,
2432,Troccoli,Turgel,
2433,Turi,Ungar,U
2434,Ungar,Urban,
2435,Urban,Van Nest,
2436,Van Nest,Victory,
2437,Victory,Voight,
2438,Voight,Wagner,W
2439,Wagner,Wallach,
2440,Wallach,Wanderling,
2441,Wanderman,Wasserman,
2442,Wasserman,Webster,
2443,Webster,Weinberg,
2444,Weinberg,Weinstein,
2445,Weinstein,Weiss,
2446,Weiss,Weissman,
2447,Weissman,Wersba,
2448,Wershaw,Westney,
2449,Weston,Whitehead,
2450,Whitehill,Wilensky,
2451,Wilensky,Willis,
2452,Willis,Winn,
2453,Winn,Woelfe,
2454,Woelfe,Wollin,
2455,Wollinson,Wright,
2456,Wright,Yonkers,"X,Y"
2457,Yonkers,Zahn,Z
2458,Zahn,Zerner,
2459,Zerner,Zisimos,
2460,Zisk,Zysman,
2461,,,
2462,,,
2463,,,
2464,,,
2465,,,
